"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","Browse, sort, and inspect product details","webkit","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","product-discovery.spec.js","",""
"","1","seed","webkit","2026-08-27","skipped","2026-08-27","Test group","seed.spec.ts","",""
"","0","seed","firefox","2026-08-27","skipped","2026-08-27","Test group","seed.spec.ts","",""
"","1","Add, review, and remove cart items","webkit","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","cart-management.spec.js","",""
"","0","Browse, sort, and inspect product details","firefox","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","product-discovery.spec.js","",""
"","1","Authenticate with valid and invalid user credentials","firefox","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","authentication.spec.js","",""
"","0","get started link","firefox","2026-08-27","skipped","2026-08-27","","example.spec.js","",""
"","2681","seed","chromium","2026-08-27","passed","2026-08-27","Test group","seed.spec.ts","",""
"","7710","Complete a purchase and verify confirmation","chromium","2026-08-27","passed","2026-08-27","Core Ecommerce Journeys","order-completion.spec.js","",""
"","1","Add, review, and remove cart items","firefox","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","cart-management.spec.js","",""
"","1","Authenticate with valid and invalid user credentials","webkit","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","authentication.spec.js","",""
"","3200","get started link","chromium","2026-08-27","passed","2026-08-27","","example.spec.js","",""
"","1","get started link","webkit","2026-08-27","skipped","2026-08-27","","example.spec.js","",""
"","0","Complete a purchase and verify confirmation","webkit","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","order-completion.spec.js","",""
"","0","has title","firefox","2026-08-27","skipped","2026-08-27","","example.spec.js","",""
"","22723","Add, review, and remove cart items","chromium","2026-08-27","passed","2026-08-27","Core Ecommerce Journeys","cart-management.spec.js","",""
"","10232","Authenticate with valid and invalid user credentials","chromium","2026-08-27","passed","2026-08-27","Core Ecommerce Journeys","authentication.spec.js","",""
"","0","Complete a purchase and verify confirmation","firefox","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","order-completion.spec.js","",""
"","1","has title","webkit","2026-08-27","skipped","2026-08-27","","example.spec.js","",""
"","22418","has title","chromium","2026-08-27","passed","2026-08-27","","example.spec.js","",""
"","14331","Validate checkout information and review order totals","chromium","2026-08-27","passed","2026-08-27","Core Ecommerce Journeys","checkout-validation.spec.js","",""
"","0","Validate checkout information and review order totals","firefox","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","checkout-validation.spec.js","",""
"","6841","Browse, sort, and inspect product details","chromium","2026-08-27","passed","2026-08-27","Core Ecommerce Journeys","product-discovery.spec.js","",""
"","0","Validate checkout information and review order totals","webkit","2026-08-27","skipped","2026-08-27","Core Ecommerce Journeys","checkout-validation.spec.js","",""
